date,equity,cash,invested,open_positions,drawdown,strategy_id
2018-01-02,100000.0,100000.0,0.0,0,0.0,1
2018-01-03,100855.8764744361,45634.468695498945,55221.40777893715,3,0.0,1
2018-01-04,101328.47398772539,45634.468695498945,55694.005292226444,3,0.0,1
2018-01-05,101617.39489378399,45634.468695498945,55982.92619828505,3,0.0,1
2018-01-08,102365.52788507,45634.468695498945,56731.05918957105,3,0.0,1
2018-01-09,103121.92712525038,45634.468695498945,57487.45842975144,3,0.0,1
2018-01-10,103811.16641089795,45634.468695498945,58176.697715399,3,0.0,1
2018-01-11,104573.84884606133,45634.468695498945,58939.38015056238,3,0.0,1
2018-01-12,105553.5096857212,45634.468695498945,59919.04099022226,3,0.0,1
2018-01-16,105684.00821300935,45634.468695498945,60049.539517510406,3,0.0,1
2018-01-17,106147.7415299174,45634.468695498945,60513.27283441846,3,0.0,1
2018-01-18,105879.41584143841,45634.468695498945,60244.94714593947,3,0.0025278511309952015,1
2018-01-19,106505.42004694794,45634.468695498945,60870.951351448995,3,0.0,1
2018-01-22,106586.00110093305,66326.31714861139,40259.68395232166,2,0.0,1
2018-01-23,106444.01166350789,47010.96855036353,59433.04311314436,3,0.0013321584069065603,1
2018-01-24,106410.81524573278,47010.96855036353,59399.846695369255,3,0.001643610355870019,1
2018-01-25,105881.71039500389,65708.22599346745,40173.484401536436,2,0.006607722389943342,1
2018-01-26,106414.3548624588,46520.50785662179,59893.847005837015,3,0.001610401335084383,1
2018-01-29,106307.98054865346,46520.50785662179,59787.472692031675,3,0.0026084152647429977,1
2018-01-30,105775.7848251762,46520.50785662179,59255.276968554404,3,0.007601526160922378,1
2018-01-31,105575.41352120912,86378.67436032169,19196.739160887428,1,0.009481428792576036,1
2018-02-01,104557.87111144478,48114.2513685021,56443.61974294269,3,0.019028108462083155,1
2018-02-02,105213.08419090962,66634.23209654278,38578.85209436684,2,0.01288083703152843,1
2018-02-05,103720.69203648219,85383.05516364503,18337.63687283716,1,0.026882602169655656,1
2018-02-06,103839.4762806878,103839.4762806878,0.0,0,0.025768157092641,1
2018-02-07,104720.03830072183,47386.59329688054,57333.44500384129,3,0.01750664046814381,1
2018-02-08,102913.54604524,102913.54604524,0.0,0,0.03445532262923878,1
2018-02-09,103158.33540407497,46964.04995344294,56194.28545063203,3,0.03215868558209821,1
2018-02-12,104275.85617582916,46964.04995344294,57311.80622238623,3,0.02167399941120095,1
2018-02-13,104189.49407926959,46964.04995344294,57225.44412582664,3,0.02248425681524592,1
2018-02-14,105207.61104796773,46964.04995344294,58243.56109452479,3,0.012932186579174063,1
2018-02-15,106557.90755392548,46964.04995344294,59593.857600482545,3,0.00026357633007509303,1
2018-02-16,106477.68092005994,46964.04995344294,59513.630966617005,3,0.0010162702395649014,1
2018-02-20,106445.59845348509,46964.04995344294,59481.54850004215,3,0.0013172709924167746,1
2018-02-21,106111.90707745061,46964.04995344294,59147.85712400767,3,0.0044479952206245895,1
2018-02-22,106255.2981096693,46964.04995344294,59291.24815622635,3,0.0031026869180558535,1
