strategy_id,symbol,sector,entry_date,exit_date,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,pnl_pct,pnl_dollars,exit_reason,hwm
1,CMG,Consumer Discretionary,2018-01-02,2018-01-22,13,95.0,0.037342189175969695,0.08170892392376708,0.8374,18121.843768167015,0.14181805768902558,2570.0046849454184,pct_trail,0.17381805768902558
1,CIEN,Unknown,2018-01-22,2018-01-25,3,95.0,0.038785554228874336,0.06988317002391388,0.8374,19315.34859824786,-0.032,-618.0911551439315,pct_trail,0.0
1,COF,Financials,2018-01-02,2018-01-31,20,95.0,0.03881331949506141,0.059049128264893155,0.8374,18121.843768167015,0.04167083626532353,755.1523844890612,hold_expiry,0.06123963001370325
1,CAH,Health Care,2018-01-02,2018-01-31,20,95.0,0.03742859566451752,0.06995585388104067,0.8374,18121.843768167015,0.15778342532118786,2859.326582876814,pct_trail,0.18978342532118786
1,HSY,Consumer Staples,2018-01-31,2018-02-02,2,95.0,0.03749353694430623,0.05235825649960241,0.8374,19132.211495909793,-0.032,-612.2307678691134,pct_trail,0.0
1,CIEN,Unknown,2018-01-25,2018-02-05,7,95.0,0.0375367465328203,0.07299742403386766,0.8374,19187.71813684566,0.0056116596144804316,107.6749429625705,pct_trail,0.03761165961448043
1,AXON,Industrials,2018-01-31,2018-02-05,3,95.0,0.038458015970062716,0.052683991030781925,0.8374,19132.211495909793,-0.032,-612.2307678691134,pct_trail,0.0
1,AIG,Financials,2018-02-02,2018-02-06,2,95.0,0.03833547544959234,0.05413274356221194,0.8374,19066.55074074667,-0.032,-610.1296237038935,pct_trail,0.0
1,AKAM,Information Technology,2018-02-06,2018-02-08,2,95.1,0.04048253230514628,0.07935722606298402,0.8374,18817.62766126909,-0.019278152976283963,-362.7691047046981,pct_trail,0.012721847023716037
1,BA,Industrials,2018-02-06,2018-02-08,2,95.1,0.0418643342067774,0.08569855979132848,0.8374,18817.62766126909,-0.010850657217573693,-204.1836274003638,pct_trail,0.021149342782426306
1,BKNG,Consumer Discretionary,2018-02-06,2018-02-08,2,95.0,0.03783171655215123,0.06441332896194565,0.8374,18817.62766126909,-0.019076660980045207,-358.9775033427514,pct_trail,0.012923339019954794
