strategy_id,label,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,tier
8,Best4_CW_EP_T90,72.63160195064513,0.7115241485806056,0.0771837956353283,3.432666087112659,0.5707762557077626,0.08434842254404039,-0.024737228193303325,5.1375810222034675,657,82.125,8,0.3005957288190664,0.07771245139821326,0.9614690706415219,0.6074026478557069,0.87839628477611,0.8239117277937131,1.0894973821658813,1.33272018091432,10_30
5,Best4_EP_T85,44.67061048506519,0.6123324773933692,0.0660192956762046,3.2869505981840104,0.5762463343108505,0.07483974519806788,-0.02306645258219403,4.359051481176766,682,85.25,8,0.4315507465485793,0.10091297316652059,0.8512373668022455,0.7077336944530932,0.7875845732244511,0.8477172703553442,0.5337530847504584,0.8362459021020161,10_30
1,Baseline_EP_T90,72.64384044191556,0.71155970557952,0.07308807885855438,3.2846942457541886,0.5666666666666667,0.08118753661593758,-0.023834416987728962,4.361400396192916,690,86.25,8,0.3186126503954827,0.06465742937841523,0.5973044456185594,0.9141676331012158,1.1651976612261628,1.4749233380427773,0.8544677590436978,0.6975513143672767,10_30
9,Best4_CR_EP_T85,87.53023642987371,0.7514044668178952,0.0714166631419569,3.245024911482532,0.5585585585585585,0.09081444041792806,-0.024703455328145746,4.520207900080807,666,83.25,8,0.3430869323879251,0.10884277186946001,1.4570804358957266,0.777591381436227,0.6410958882787838,1.0912752565447557,0.9232829245345868,1.0167102315726844,10_30
3,Best4_EP_T90,42.212875460667924,0.6012223586773904,0.06551978587405495,3.223872774947882,0.5794392523364486,0.07499705144464154,-0.023123704560898118,4.488927352507746,642,80.25,8,0.3852701398864362,0.06174525372627371,0.8744085507503716,0.5478041321126421,0.6870501958221367,0.9102853233779888,0.7241237575046937,0.8551655844700508,10_30
7,Best4_CW_EP_T85,82.54800896116015,0.7387694980620316,0.06974898600661132,3.1776202509227636,0.5562130177514792,0.08840638032650149,-0.02362486936805932,4.694405912189857,676,84.5,8,0.34738266253884764,0.11395593980412255,1.3431861072060771,0.7445686413832748,0.6703330655629787,0.8274136734335911,1.09555992164774,1.0932829116378922,10_30
14,Best4_EP_T85_SA,500.7102280406562,1.1754876357494664,0.11196867129035018,3.1168537561264995,0.5762463343108505,0.07483974519806788,-0.02306645258219403,4.642902021839314,682,85.25,8,0.7111252929782093,0.1338265966621981,1.8368994721349536,1.394831678507313,1.5594140867820272,1.6658287512896894,1.0756441517274697,1.747733349864923,10_30
13,Best4_EP_T90_SH,467.23098987120034,1.1567883016474756,0.10914471103342513,3.0534288933363065,0.5794392523364486,0.07499705144464154,-0.023123704560898118,4.722732269178924,642,80.25,8,0.6702911148778523,0.11641317312335153,1.8690544978336927,1.0276591515352216,1.3678853849979014,1.9277098631776068,1.3196096003701636,1.7604063745751004,10_30
10,Best4_CW_EM_T85,62.150469296269314,0.6789859920478614,0.14717140155800923,2.9952598402431243,0.8337078651685393,0.08156976953387632,-0.07995766266833397,8.021151243128923,445,55.625,8,0.42707650711503553,0.1277463630129525,0.4462865250195369,0.7933056232625442,0.8729997965406671,0.5069085022727002,1.1116174532291243,1.530700685373803,10_30
19,Best4+VIX_EP_T90,12.489664877590705,0.3843635155523357,0.04392954547380534,2.947934551624018,0.5794392523364486,0.07499705144464154,-0.023123704560898118,4.50582887363328,642,80.25,8,0.27172900831841407,0.033495504911494445,0.36465610721503006,0.30885114064408725,0.20029006220166323,0.7222874131700605,0.6615382065539768,0.6955715093805395,10_30
6,Best4_EM_T85,55.91161622819485,0.6572961249792453,0.15696035643804007,2.9291991212883275,0.8497854077253219,0.07494193783093306,-0.07785568957565674,6.958023333234575,466,58.25,8,0.45040922816805185,0.10025641937991048,0.47346257354109267,0.9316996032098066,0.8542863605813846,0.7927337441345554,0.7687403122176291,1.0199416307144098,10_30
11,Best4_EP_T90_P2,13.12091884104936,0.3923001490129654,0.05295750595425705,2.799710162386083,0.5576131687242798,0.07475767853099065,-0.02364214476106685,3.954240473804377,486,60.75,8,0.32279571111612726,0.055804877632569694,0.551192775505706,0.4759937821271929,0.3742328017530472,0.5172518336886205,0.37320707008103193,0.5322782780500213,10_30
4,Best4_EM_T90,45.91658037633567,0.6177663352084615,0.15622134803834462,2.753579071134217,0.8561797752808988,0.07260444101948856,-0.08513318756426437,6.6955990107280465,445,55.625,8,0.2400661402427955,0.06870540125155356,0.5600007292450206,0.893762610806101,0.4949545193664817,1.132168748543947,0.793085889929658,1.0284540196365204,10_30
12,Best4_EP_T85_P4_C2,146.94662037627683,0.867510838855315,0.09565696510895169,2.7510201368708116,0.5722679200940071,0.07960738307239987,-0.02385479280777906,4.0016569626943275,851,106.375,8,0.9273881559348707,0.15657770162279228,0.6794605536612519,0.6200966585200796,0.7680274372818956,2.258244641871978,1.1550492652572233,0.9912093075904869,10_30
17,Best4_EP_T85_31_60,24.20098349117251,0.496846224397651,0.07216507310111822,2.713665301024417,0.524822695035461,0.08305115445096897,-0.023326306822402772,3.73033408834576,564,70.5,8,0.09105626159795244,0.08724376360379149,0.8301094841543808,0.8278692058745916,0.7226224927706797,0.38110769332274397,0.38634033115212496,0.9106400111872066,31_60
2,Baseline_EM_T90,27.56858643929432,0.5204988430591817,0.16244785803456024,2.660035934382038,0.8179824561403509,0.06909427968882505,-0.07817699081251107,4.2089887835358395,456,57.0,8,0.4788449547797564,0.11783588270963463,0.5047305270014173,0.617594479714521,0.43123509399702864,1.0174620912450325,0.6489665497901567,0.48696737301249127,10_30
15,Best4_EP_T90_31_60,20.359957289274423,0.4662230664518261,0.06947288786044942,2.6412773609631603,0.5349716446124764,0.08087853433491234,-0.02354795275237768,3.806787180910963,529,66.125,8,0.13848039939241508,0.07059226131019147,0.8551496501526319,0.8307201901088079,0.45959435202533294,0.38933475323727196,0.3130928486938447,0.9521289221314109,31_60
18,Best4_CW_EP_T85_31_60,30.508379669651802,0.539229076585829,0.07569384199563746,2.5428876923443555,0.5043782837127846,0.09136317190858867,-0.02398207079528337,3.6565864268147474,571,71.375,8,0.2152796971699371,0.05872052443362419,1.1786089552832753,0.6590963694459806,0.534235934500239,0.8008629136404053,0.40036139442677743,0.760625210983547,31_60
20,Best4_ET_T90,16.86195558061844,0.4338084173190484,0.1522633605498436,2.162377472178098,0.6983333333333334,0.0620220821403363,-0.052399112804823476,3.1924185545938464,600,75.0,8,0.1705729033300165,0.015990850497838993,0.3600090504838871,0.6890489001098576,0.49187086590262186,0.5682199239401364,0.5397944695062635,0.7854306824909301,10_30
16,Best4_EM_T90_31_60,16.649138125305303,0.4316618019816003,0.18919488929512104,1.9881868702230787,0.853448275862069,0.10562448330332301,-0.13475467271398825,6.062937729494409,232,29.0,8,0.014708519478772164,0.09892948764865306,0.3372133638285426,0.7600708754659833,0.3389896918017983,0.682927293569024,0.590447379302734,0.8457517535843906,31_60
