strategy_id,symbol,sector,entry_date,exit_date,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,pnl_pct,pnl_dollars,exit_reason,hwm
1,AMAT,Information Technology,2018-01-02,2018-01-10,6,95.0,0.03661735288940054,0.08564785999768847,0.8452,18366.567854861358,0.022297426526068725,409.5271972798268,pct_trail,0.054297426526068726
1,NFLX,Communication Services,2018-01-10,2018-01-29,12,95.2,0.04758627911241595,0.08446543473334625,0.8452,18733.516558666837,0.33712102390363263,6315.462283573421,hold_expiry,0.33912102390363263
1,BX,Unknown,2018-01-02,2018-01-31,20,95.1,0.03795184896870227,0.06789456314740097,0.8452,18366.567854861358,0.12192135280738503,2239.2767992933286,hold_expiry,0.13099409673105944
1,AMAT,Information Technology,2018-01-29,2018-01-31,2,95.1,0.03914339405143622,0.05928140230574743,0.8452,20189.77389387707,-0.032,-646.0727646040663,pct_trail,0.0
1,COF,Financials,2018-01-02,2018-02-01,21,95.1,0.03812660181622732,0.06460086741165191,0.8452,18366.567854861358,0.04930018332654362,905.475162324068,hold_expiry,0.06123963001370325
1,AMAT,Information Technology,2018-01-31,2018-02-02,2,95.1,0.03762903818355463,0.06537321154582226,0.8452,20041.649698981626,-0.032,-641.332790367412,pct_trail,0.0
1,AXON,Industrials,2018-01-31,2018-02-05,3,95.1,0.03747986107559702,0.05796348430949352,0.8452,20041.649698981626,-0.032,-641.332790367412,pct_trail,0.0
1,BKNG,Consumer Discretionary,2018-02-01,2018-02-05,2,95.0,0.03481621563453043,0.05979617742050575,0.8452,19950.359066463585,-0.032,-638.4114901268347,pct_trail,0.0
1,ADI,Information Technology,2018-02-02,2018-02-07,3,95.0,0.03664507851185592,0.06789859179335606,0.8452,19767.98922022878,-0.032,-632.575655047321,pct_trail,0.0
1,BA,Industrials,2018-02-06,2018-02-08,2,95.0,0.03559565167749778,0.08722723936288451,0.8452,19684.5787818154,-0.010850657217573693,-213.59061683380324,pct_trail,0.021149342782426306
1,BKNG,Consumer Discretionary,2018-02-06,2018-02-08,2,95.2,0.04671843307541721,0.08101671188072883,0.8452,19684.5787818154,-0.019076660980045207,-375.5160359556836,pct_trail,0.012923339019954794
1,CMG,Consumer Discretionary,2018-02-08,2018-02-12,2,95.0,0.034752669480585,0.11094492908221026,0.8452,19364.805405903546,-0.032,-619.6737729889135,pct_trail,0.0
1,AMD,Information Technology,2018-02-07,2018-02-16,7,95.0,0.03662691064478868,0.0661262705185349,0.8452,19714.806604695612,0.019724137931034474,388.8575647546857,pct_trail,0.051724137931034475
1,CHRW,Industrials,2018-02-08,2018-02-20,7,95.0,0.0347063101780345,0.08305194503395626,0.8452,19364.805405903546,-0.004587340715105774,-88.83296027860172,pct_trail,0.027412659284894225
1,ARE,Real Estate,2018-02-12,2018-02-21,6,95.0,0.035464060211838615,0.0626710770000888,0.8452,19422.496847236085,-0.0019363641060314556,-37.60902574449707,pct_trail,0.030063635893968543
1,A,Unknown,2018-02-16,2018-02-27,6,95.0,0.03516216519601395,0.06262982073847269,0.8452,19632.800675076287,-0.032,-628.2496216024412,pct_trail,0.0
1,AOS,Industrials,2018-02-20,2018-02-28,6,95.0,0.03566987722862171,0.06101983104140473,0.8452,19436.740874975556,-0.01717749563026258,-333.87453144643865,pct_trail,0.014822504369737421
1,AFL,Financials,2018-02-21,2018-03-01,6,95.0,0.03630034431502516,0.060240152088496784,0.8452,19378.45652814027,-0.01084823513775232,-210.22205302397708,pct_trail,0.02115176486224768
1,AKAM,Information Technology,2018-02-27,2018-03-13,10,95.0,0.03519399866693369,0.06030026545261765,0.8452,19344.13529294499,0.08274208675263764,1600.5741205636139,pct_trail,0.11474208675263764
1,AES,Utilities,2018-02-28,2018-03-16,12,95.2,0.04341088027555904,0.06867550649012663,0.8452,19200.486940540308,-0.004757567923576065,-91.34762078535572,hold_expiry,0.010119289433836665
1,AOS,Industrials,2018-03-01,2018-03-16,11,95.0,0.03562253680989187,0.06392716541177972,0.8452,19215.042705852793,0.055685974537262206,1070.0083788505244,hold_expiry,0.07138286167640917
1,DLTR,Consumer Discretionary,2018-03-16,2018-03-23,5,95.0,0.03671973529829941,0.08381910846304086,0.8452,19770.161243554252,-0.032,-632.6451597937361,pct_trail,0.0
1,FSLR,Unknown,2018-03-16,2018-03-23,5,95.0,0.034453001920636495,0.10518683699143701,0.8452,19770.161243554252,0.02524917704308008,499.1803014087415,pct_trail,0.05724917704308008
1,ALB,Materials,2018-03-23,2018-03-28,3,95.0,0.03651759472173589,0.07388226030529367,0.8452,19643.1281065636,-0.019988440758889253,-392.63550247731894,pct_trail,0.012011559241110747
1,AOS,Industrials,2018-03-28,2018-04-02,2,95.0,0.03532821804597687,0.06772650504407722,0.8452,19837.52519328012,-0.014884122818259652,-295.26416138710135,pct_trail,0.017115877181740347
1,AES,Utilities,2018-03-23,2018-04-04,7,95.0,0.034704400761161824,0.061610207784182525,0.8452,19643.1281065636,0.060501560354512485,1188.439900690678,hold_expiry,0.07276245162901018
1,CI,Health Care,2018-03-13,2018-04-09,18,95.1,0.04002136948697322,0.0776789533591266,0.8452,19648.829793506946,0.019594836610619337,385.0156093936379,hold_expiry,0.02822566350075273
1,SMCI,Information Technology,2018-04-04,2018-04-19,11,95.0,0.03484360940162199,0.10759231211614372,0.8452,19867.971784375917,0.060537313432835776,1202.7536351855024,pct_trail,0.09253731343283578
1,APA,Energy,2018-04-02,2018-04-20,14,95.0,0.036403190664344755,0.09229736973056203,0.8452,19749.836703471847,0.0983436700506786,1942.271424321017,pct_trail,0.1303436700506786
1,AXP,Financials,2018-04-09,2018-04-25,12,95.0,0.03616710823903855,0.06738097131049493,0.8452,19779.825762459557,0.07902726214676628,1563.1454757472527,pct_trail,0.11102726214676628
1,INCY,Health Care,2018-04-27,2018-05-01,2,90.1,0.028251015761787682,0.10538350564970039,0.8189,19410.170022065377,-0.032,-621.125440706092,pct_trail,0.0
1,NVDA,Information Technology,2018-05-07,2018-05-15,6,95.0,0.03545792067971816,0.08659976898728257,0.8452,20559.040036417842,0.014036803433253227,288.5832037675805,pct_trail,0.046036803433253226
1,CI,Health Care,2018-05-03,2018-05-17,10,90.4,0.028643760845988787,0.05310641191691172,0.8189,19303.090666826112,0.03287987502830414,634.6832087852666,hold_expiry,0.03487987502830414
1,NFLX,Communication Services,2018-05-07,2018-05-18,9,90.8,0.029123160815024057,0.0764380204969226,0.8189,19297.50909236349,-0.00837528351621397,-161.62210980526115,hold_expiry,0.012382762214185217
1,TSLA,Consumer Discretionary,2018-05-17,2018-05-22,3,91.3,0.029785736212656313,0.08673188582030691,0.8189,19451.653155655236,-0.032,-622.4529009809676,pct_trail,0.0
1,NFLX,Communication Services,2018-05-18,2018-06-08,14,95.0,0.035957109523038565,0.08067911367263962,0.8452,20607.956733118568,0.110252452341292,2272.0777675695626,hold_expiry,0.133475229810599
1,PODD,Health Care,2018-05-22,2018-06-14,16,95.1,0.03906060986079174,0.09556732602461646,0.8452,20693.950485425863,0.13304743399245636,2753.277011252858,pct_trail,0.16504743399245636
1,MPWR,Information Technology,2018-05-18,2018-06-15,19,90.3,0.028467795572857765,0.06698901322064309,0.8189,19343.424193344785,0.09641831686847868,1865.0604031953142,hold_expiry,0.09841831686847868
1,SBAC,Real Estate,2018-06-08,2018-06-29,15,95.1,0.03714320994040583,0.07228127064866861,0.8452,21546.288464881185,0.047580953331171516,1025.1929459074709,hold_expiry,0.04958095333117152
1,MNST,Consumer Staples,2018-06-18,2018-07-13,18,90.0,0.02805035598952808,0.07260896334956364,0.7873,18915.114277856526,0.08928186842574437,1688.776744213505,hold_expiry,0.09128186842574437
1,DOC,Unknown,2018-06-19,2018-07-17,19,90.6,0.028863994349383085,0.06637070248100332,0.8189,20529.436951482916,0.07299353110397444,1498.5160946651504,hold_expiry,0.10315986544696298
1,AMZN,Consumer Discretionary,2018-06-29,2018-07-24,16,95.0,0.035115253911759584,0.07976956834809379,0.8452,22405.244325893025,0.07415013531003667,1661.351898419399,hold_expiry,0.08479232850923646
1,NFLX,Communication Services,2018-08-02,2018-08-13,7,90.6,0.028842506083177497,0.11080966390035955,0.8189,21614.845833276788,-0.010722786647314934,-231.77138028483117,pct_trail,0.021277213352685065
