strategy_id,symbol,sector,direction,entry_date,exit_date,holding_days_cal,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,exit_return,pnl_dollars,pnl_pct,exit_reason,hwm
L1P5_base_L,CMG,Consumer Discretionary,l,2018-01-02,2018-01-22,20,13,95.0,0.037342189175969695,0.08170892392376708,0.8374,17929.649959556387,0.14181805768902558,2542.748132308403,0.14181805768902558,pct_trail,0.17381805768902558
L1P5_base_L,CIEN,Unknown,l,2018-01-22,2018-01-25,26,3,95.0,0.038785554228874336,0.06988317002391388,0.8374,19775.192642647497,-0.032,-632.8061645647199,-0.032,pct_trail,0.0
L1P5_base_L,COF,Financials,l,2018-01-02,2018-01-31,29,20,95.0,0.03881331949506141,0.059049128264893155,0.8374,17929.649959556387,0.04167083626532353,747.1435077592389,0.04167083626532353,hold_expiry,0.06123963001370325
L1P5_base_L,CAH,Health Care,l,2018-01-02,2018-01-31,29,20,95.0,0.03742859566451752,0.06995585388104067,0.8374,17929.649959556387,0.15778342532118786,2829.001585428704,0.15778342532118786,pct_trail,0.18978342532118786
L1P5_base_L,CAH,Health Care,l,2018-01-02,2018-01-31,30,20,95.1,0.040906853529291666,0.07093913992821138,0.8374,17929.649959556387,0.15778342532118786,2829.001585428704,0.15778342532118786,pct_trail,0.18978342532118786
L1P5_base_L,COF,Financials,l,2018-01-02,2018-02-01,30,21,95.0,0.038895672451197474,0.059049128264893155,0.8374,17929.649959556387,0.04930018332654362,883.9350299868853,0.04930018332654362,hold_expiry,0.06123963001370325
L1P5_base_L,HSY,Consumer Staples,l,2018-01-31,2018-02-02,29,2,95.0,0.03749353694430623,0.05235825649960241,0.8374,19562.52629914941,-0.032,-626.0008415727812,-0.032,pct_trail,0.0
L1P5_base_L,CIEN,Unknown,l,2018-01-25,2018-02-05,30,7,95.0,0.0375367465328203,0.07299742403386766,0.8374,19222.724164360872,0.0056116596144804316,107.871384873441,0.0056116596144804316,pct_trail,0.03761165961448043
L1P5_base_L,AXON,Industrials,l,2018-01-31,2018-02-05,16,3,95.0,0.038458015970062716,0.052683991030781925,0.8374,19562.52629914941,-0.032,-626.0008415727812,-0.032,pct_trail,0.0
L1P5_base_L,CIEN,Unknown,l,2018-01-31,2018-02-05,16,3,95.0,0.04037239945964249,0.06069241018207554,0.8374,19562.52629914941,0.005124060150375949,100.23956145015299,0.005124060150375949,pct_trail,0.03712406015037595
L1P5_base_L,HSY,Consumer Staples,l,2018-02-01,2018-02-05,24,2,95.0,0.03749895651763969,0.05240384848984082,0.8374,19495.812161252037,-0.032,-623.8659891600652,-0.032,pct_trail,0.0
L1P5_base_L,AIG,Financials,l,2018-02-02,2018-02-06,25,2,95.0,0.03833547544959234,0.05413274356221194,0.8374,19614.81916409746,-0.032,-627.6742132511187,-0.032,pct_trail,0.0
L1P5_base_L,AKAM,Information Technology,l,2018-02-06,2018-02-08,25,2,95.1,0.04048253230514628,0.07935722606298402,0.8374,19167.4399719543,-0.019278152976283963,-369.512839943075,-0.019278152976283963,pct_trail,0.012721847023716037
L1P5_base_L,AKAM,Information Technology,l,2018-02-06,2018-02-08,29,2,95.1,0.044767721464389405,0.08300443608072167,0.8374,19167.4399719543,-0.019278152976283963,-369.512839943075,-0.019278152976283963,pct_trail,0.012721847023716037
L1P5_base_L,BA,Industrials,l,2018-02-06,2018-02-08,29,2,95.1,0.0418643342067774,0.08569855979132848,0.8374,19167.4399719543,-0.010850657217573693,-207.97932087409643,-0.010850657217573693,pct_trail,0.021149342782426306
L1P5_base_L,BA,Industrials,l,2018-02-06,2018-02-08,24,2,95.0,0.03742919560465266,0.08060864959432253,0.8374,19167.4399719543,-0.010850657217573693,-207.97932087409643,-0.010850657217573693,pct_trail,0.021149342782426306
L1P5_base_L,BKNG,Consumer Discretionary,l,2018-02-06,2018-02-08,15,2,95.0,0.03783171655215123,0.06441332896194565,0.8374,19167.4399719543,-0.019076660980045207,-365.6507542003394,-0.019076660980045207,pct_trail,0.012923339019954794
L1P5_base_L,BKNG,Consumer Discretionary,l,2018-02-08,2018-02-23,16,10,95.1,0.04404651849555684,0.07345214144939793,0.8374,18894.79542569491,0.05390060710472033,1018.4409445644483,0.05390060710472033,hold_expiry,0.055900607104720335
L1P5_base_L,CSGP,Real Estate,l,2018-02-23,2018-02-27,26,2,95.0,0.03945599809895059,0.06914248554355425,0.8374,19578.066020355516,-0.032,-626.4981126513766,-0.032,pct_trail,0.0
