date,equity,drawdown,strategy_id
2018-01-02,100000.0,0.0,L1P5_base_L
2018-01-03,100711.27789598281,0.0,L1P5_base_L
2018-01-04,101762.12368241163,0.0,L1P5_base_L
2018-01-05,101924.99580057844,0.0,L1P5_base_L
2018-01-08,103118.95918797719,0.0,L1P5_base_L
2018-01-09,104560.63005745123,0.0,L1P5_base_L
2018-01-10,105775.76376986214,0.0,L1P5_base_L
2018-01-11,107058.49714572178,0.0,L1P5_base_L
2018-01-12,108884.42398686879,0.0,L1P5_base_L
2018-01-16,109140.81688614836,0.0,L1P5_base_L
2018-01-17,109614.10763234674,0.0,L1P5_base_L
2018-01-18,108905.65680057723,0.006463135513046434,L1P5_base_L
2018-01-19,109756.35483548744,0.0,L1P5_base_L
2018-01-22,110489.55651435356,0.0,L1P5_base_L
2018-01-23,110300.3180857506,0.0017127268365710777,L1P5_base_L
2018-01-24,110593.20508966877,0.0,L1P5_base_L
2018-01-25,109686.17965157269,0.008201457199478653,L1P5_base_L
2018-01-26,110607.97223342219,0.0,L1P5_base_L
2018-01-29,110520.8650020007,0.0007875312209653043,L1P5_base_L
2018-01-30,109406.06958084731,0.010866329327857447,L1P5_base_L
2018-01-31,109107.12893601535,0.013569033651928167,L1P5_base_L
2018-02-01,108735.04059046559,0.01693306192255331,L1P5_base_L
2018-02-02,109398.78474115378,0.010932191123769915,L1P5_base_L
2018-02-05,106781.39279118164,0.03459587374194964,L1P5_base_L
2018-02-06,106903.59273711407,0.033491071407498164,L1P5_base_L
2018-02-07,108449.74805679209,0.019512374497522477,L1P5_base_L
2018-02-08,105382.9576612794,0.04723904133344153,L1P5_base_L
2018-02-09,106308.53284677645,0.0388709719546471,L1P5_base_L
2018-02-12,108311.38463563117,0.020763309835790146,L1P5_base_L
2018-02-13,108054.16086788476,0.023088854392411984,L1P5_base_L
2018-02-14,109902.14919884468,0.0063813034478922585,L1P5_base_L
2018-02-15,112095.87032509089,0.0,L1P5_base_L
2018-02-16,111778.99676929359,0.002826808470984061,L1P5_base_L
2018-02-20,111613.34551263228,0.004304572604318335,L1P5_base_L
2018-02-21,111083.03374645731,0.009035449528124772,L1P5_base_L
2018-02-22,111410.6189998416,0.006113082696641599,L1P5_base_L
2018-02-23,112441.50882708712,0.0,L1P5_base_L
2018-02-26,113889.86856762579,0.0,L1P5_base_L
2018-02-27,113261.93413766858,0.005513523176860591,L1P5_base_L
2018-02-28,112092.36643534664,0.01578280978708671,L1P5_base_L
2018-03-01,111950.00683341023,0.017032785783431714,L1P5_base_L
2018-03-02,112970.35732468063,0.008073687804803859,L1P5_base_L
2018-03-05,114200.12141593703,0.0,L1P5_base_L
2018-03-06,114953.1355813652,0.0,L1P5_base_L
2018-03-07,115682.8838649005,0.0,L1P5_base_L
2018-03-08,117907.69626429012,0.0,L1P5_base_L
2018-03-09,120099.83334102249,0.0,L1P5_base_L
2018-03-12,120291.35156503774,0.0,L1P5_base_L
2018-03-13,119727.68129880959,0.004685875242854738,L1P5_base_L
2018-03-14,119567.64850113861,0.006016251829275057,L1P5_base_L
2018-03-15,118536.07716752084,0.014591858638880437,L1P5_base_L
2018-03-16,119211.65607989073,0.008975670080182364,L1P5_base_L
2018-03-19,118212.63688571317,0.017280666085131378,L1P5_base_L
2018-03-20,118405.24397631614,0.015679494528763695,L1P5_base_L
2018-03-21,119002.66508349136,0.01071304349631175,L1P5_base_L
2018-03-22,117812.09909062534,0.020610396692333624,L1P5_base_L
2018-03-23,117789.48846493014,0.020798362206071987,L1P5_base_L
2018-03-26,119412.16281460525,0.007308827600603809,L1P5_base_L
2018-03-27,118095.81788374447,0.018251799923506635,L1P5_base_L
2018-03-28,118468.47316809118,0.015153860799053252,L1P5_base_L
2018-03-29,121133.80022931962,0.0,L1P5_base_L
2018-04-02,119201.24828942752,0.01595386206189824,L1P5_base_L
2018-04-03,120668.47525636303,0.0038414131487303745,L1P5_base_L
2018-04-04,122293.78647901252,0.0,L1P5_base_L
2018-04-05,124021.1622191706,0.0,L1P5_base_L
2018-04-06,122423.78787169441,0.012879853074214074,L1P5_base_L
2018-04-09,123216.73821343861,0.006486183416910762,L1P5_base_L
2018-04-10,124889.11805788754,0.0,L1P5_base_L
2018-04-11,125453.75872886754,0.0,L1P5_base_L
2018-04-12,125698.5149224413,0.0,L1P5_base_L
2018-04-13,126157.72382286214,0.0,L1P5_base_L
2018-04-16,126797.60910206754,0.0,L1P5_base_L
2018-04-17,127065.00338699143,0.0,L1P5_base_L
2018-04-18,127842.29830316264,0.0,L1P5_base_L
2018-04-19,128201.02600670258,0.0,L1P5_base_L
2018-04-20,128601.6484843384,0.0,L1P5_base_L
2018-04-23,129114.25519677365,0.0,L1P5_base_L
2018-04-24,128635.59881457189,0.003707231099093419,L1P5_base_L
2018-04-25,129257.87118238013,0.0,L1P5_base_L
2018-04-26,128977.43578713208,0.002169580797538872,L1P5_base_L
2018-04-27,129889.11642512128,0.0,L1P5_base_L
2018-04-30,128998.61152514092,0.006855885423577538,L1P5_base_L
2018-05-01,128683.56746687813,0.00928137007489865,L1P5_base_L
2018-05-02,128976.64865098038,0.007024974834338157,L1P5_base_L
2018-05-03,129519.08599132687,0.0028488178530933854,L1P5_base_L
2018-05-04,129599.60538097034,0.0022289091813002615,L1P5_base_L
2018-05-07,129647.05635164978,0.0018635901154277264,L1P5_base_L
2018-05-08,129756.25101283369,0.001022914128176268,L1P5_base_L
2018-05-09,130710.4354793367,0.0,L1P5_base_L
2018-05-10,131792.68918137197,0.0,L1P5_base_L
2018-05-11,131684.58106353582,0.0008202891868104437,L1P5_base_L
2018-05-14,132779.5861665204,0.0,L1P5_base_L
2018-05-15,131784.1191463701,0.0074971390474276416,L1P5_base_L
2018-05-16,132278.16949876037,0.0037763084088181845,L1P5_base_L
2018-05-17,132187.13947583907,0.0044618808341392036,L1P5_base_L
