method,fit_scheme,ECE,MCE,Brier,logloss,AUC
production_20bin_step,in_sample,1e-05,4e-05,0.207382,0.603609,0.615436
platt_linear,LOYO,0.01405,0.076516,0.20919,0.608049,0.615436
platt_quad,LOYO,0.01397,0.094381,0.209308,0.608131,0.615436
quantile_bins_10,LOYO,0.011267,0.050727,0.209544,0.608619,0.615436
production_20bin_step,LOYO,0.013094,0.125873,0.209815,0.609114,0.615436
quantile_bins_20,LOYO,0.013094,0.125873,0.209815,0.609114,0.615436
isotonic_clip,LOYO,0.017364,0.119122,0.209828,0.60981,0.615436
isotonic_extrap,LOYO,0.017365,0.119122,0.209829,0.609892,0.615436
quantile_bins_50,LOYO,0.017642,0.07928,0.20991,0.609228,0.615436
isotonic_recency_w,LOYO,0.017014,0.119122,0.210043,0.610277,0.615436
isotonic_by_dir,LOYO,0.035344,0.0977,0.212727,0.616848,0.615436
