which,prob_bin,bin_lo,bin_hi,mean_pred_prob,mean_realized,count
baseline_LOYO,0,0.0,0.0667,,,0
baseline_LOYO,1,0.0667,0.1333,,,0
baseline_LOYO,2,0.1333,0.2,,,0
baseline_LOYO,3,0.2,0.2667,,,0
baseline_LOYO,4,0.2667,0.3333,,,0
baseline_LOYO,5,0.3333,0.4,,,0
baseline_LOYO,6,0.4,0.4667,,,0
baseline_LOYO,7,0.4667,0.5333,0.52409,0.74224,460850
baseline_LOYO,8,0.5333,0.6,0.57303,0.54362,3227288
baseline_LOYO,9,0.6,0.6667,0.63739,0.65446,1421578
baseline_LOYO,10,0.6667,0.7333,0.70238,0.69874,2008677
baseline_LOYO,11,0.7333,0.8,0.76428,0.76029,2591048
baseline_LOYO,12,0.8,0.8667,0.82228,0.81519,1295402
baseline_LOYO,13,0.8667,0.9333,,,0
baseline_LOYO,14,0.9333,1.0,,,0
best_quantile_bins_10_LOYO,0,0.0,0.0667,,,0
best_quantile_bins_10_LOYO,1,0.0667,0.1333,,,0
best_quantile_bins_10_LOYO,2,0.1333,0.2,,,0
best_quantile_bins_10_LOYO,3,0.2,0.2667,,,0
best_quantile_bins_10_LOYO,4,0.2667,0.3333,,,0
best_quantile_bins_10_LOYO,5,0.3333,0.4,,,0
best_quantile_bins_10_LOYO,6,0.4,0.4667,,,0
best_quantile_bins_10_LOYO,7,0.4667,0.5333,0.52045,0.82908,251288
best_quantile_bins_10_LOYO,8,0.5333,0.6,0.56745,0.54968,3292264
best_quantile_bins_10_LOYO,9,0.6,0.6667,0.6301,0.65757,1388887
best_quantile_bins_10_LOYO,10,0.6667,0.7333,0.69987,0.68844,2258347
best_quantile_bins_10_LOYO,11,0.7333,0.8,0.76672,0.7599,2667879
best_quantile_bins_10_LOYO,12,0.8,0.8667,0.82478,0.82271,1146178
best_quantile_bins_10_LOYO,13,0.8667,0.9333,,,0
best_quantile_bins_10_LOYO,14,0.9333,1.0,,,0
