which,prob_bin,bin_lo,bin_hi,mean_pred_prob,mean_realized,count
baseline_LOYO,0,0.0,0.0667,,,0
baseline_LOYO,1,0.0667,0.1333,,,0
baseline_LOYO,2,0.1333,0.2,,,0
baseline_LOYO,3,0.2,0.2667,,,0
baseline_LOYO,4,0.2667,0.3333,,,0
baseline_LOYO,5,0.3333,0.4,,,0
baseline_LOYO,6,0.4,0.4667,,,0
baseline_LOYO,7,0.4667,0.5333,0.50487,0.56763,1380310
baseline_LOYO,8,0.5333,0.6,0.59267,0.82149,158948
baseline_LOYO,9,0.6,0.6667,0.63527,0.66071,3779402
baseline_LOYO,10,0.6667,0.7333,0.70716,0.70264,9001290
baseline_LOYO,11,0.7333,0.8,0.75783,0.70144,3290534
baseline_LOYO,12,0.8,0.8667,0.81702,0.85652,965196
baseline_LOYO,13,0.8667,0.9333,0.88254,0.79851,230018
baseline_LOYO,14,0.9333,1.0,,,0
best_platt_linear_LOYO,0,0.0,0.0667,0.04918,0.31058,293
best_platt_linear_LOYO,1,0.0667,0.1333,0.10447,0.46142,1905
best_platt_linear_LOYO,2,0.1333,0.2,0.17022,0.43743,4339
best_platt_linear_LOYO,3,0.2,0.2667,0.23701,0.44613,9161
best_platt_linear_LOYO,4,0.2667,0.3333,0.30584,0.27373,23403
best_platt_linear_LOYO,5,0.3333,0.4,0.37182,0.37116,59082
best_platt_linear_LOYO,6,0.4,0.4667,0.43515,0.42744,114146
best_platt_linear_LOYO,7,0.4667,0.5333,0.50339,0.53265,417255
best_platt_linear_LOYO,8,0.5333,0.6,0.57764,0.63063,1172664
best_platt_linear_LOYO,9,0.6,0.6667,0.63634,0.61681,3355479
best_platt_linear_LOYO,10,0.6667,0.7333,0.70322,0.70994,9330672
best_platt_linear_LOYO,11,0.7333,0.8,0.76,0.73751,2977251
best_platt_linear_LOYO,12,0.8,0.8667,0.8264,0.80828,1030308
best_platt_linear_LOYO,13,0.8667,0.9333,0.89191,0.92111,268822
best_platt_linear_LOYO,14,0.9333,1.0,0.9561,0.94064,40918
