which,pred_decile,pred_lo,pred_hi,mean_pred_prob,mean_realized,abs_gap,count
baseline_LOYO,0,-32.2552,-0.3215,0.50281,0.49316,0.00965,1725623
baseline_LOYO,1,-0.3215,0.5495,0.59447,0.59373,0.00074,1725620
baseline_LOYO,2,0.5495,1.0662,0.63215,0.63375,0.0016,1725622
baseline_LOYO,3,1.0662,1.5163,0.67612,0.68036,0.00424,1725624
baseline_LOYO,4,1.5163,1.9144,0.69416,0.69643,0.00228,1725620
baseline_LOYO,5,1.9144,2.3728,0.69992,0.69893,0.00099,1725611
baseline_LOYO,6,2.3728,2.9488,0.71514,0.71716,0.00202,1725634
baseline_LOYO,7,2.9488,3.6604,0.74135,0.74446,0.00311,1725624
baseline_LOYO,8,3.6604,4.7983,0.77204,0.77121,0.00084,1725622
baseline_LOYO,9,4.7983,inf,0.82552,0.82616,0.00063,1725623
best_platt_linear_LOYO,0,-32.2552,-0.3215,0.5116,0.49316,0.01844,1725623
best_platt_linear_LOYO,1,-0.3215,0.5495,0.61739,0.59373,0.02366,1725620
best_platt_linear_LOYO,2,0.5495,1.0662,0.64131,0.63375,0.00756,1725622
best_platt_linear_LOYO,3,1.0662,1.5163,0.66066,0.68036,0.0197,1725624
best_platt_linear_LOYO,4,1.5163,1.9144,0.67744,0.69643,0.01899,1725620
best_platt_linear_LOYO,5,1.9144,2.3728,0.69329,0.69893,0.00564,1725611
best_platt_linear_LOYO,6,2.3728,2.9488,0.71305,0.71716,0.00412,1725634
best_platt_linear_LOYO,7,2.9488,3.6604,0.73632,0.74446,0.00814,1725624
best_platt_linear_LOYO,8,3.6604,4.7983,0.76816,0.77121,0.00304,1725622
best_platt_linear_LOYO,9,4.7983,inf,0.84346,0.82616,0.0173,1725623
