direction,depth_bucket,n,fwd_wr,fwd_avg_ret_pct,ret_t_stat
l,never_qualified,2531941.0,0.5768570436672893,1.6133818490094483,230.30302968809664
l,depth_5_9,1410960.0,0.5815870045926178,1.74053711670745,183.99624400285475
l,depth_10_14,813070.0,0.5941481053291845,2.16972147843885,145.73468626373344
l,depth_15_19,399863.0,0.5973445905222539,1.9897479647784262,115.06706896813043
l,depth_20_29,313116.0,0.619476487946959,2.6176477990113223,133.69572235284863
l,depth_30plus,96461.0,0.6239205482008273,2.805395111037072,78.9932597720569
s,never_qualified,4458202.0,0.4109463860094271,-1.9120287390354551,-345.41746636362825
s,depth_5_9,886504.0,0.4219462066725023,-1.5538839502272734,-134.77622825988152
s,depth_10_14,174870.0,0.4279807857265397,-1.4535204513262332,-58.74411531243313
s,depth_15_19,35212.0,0.4485118709530842,-0.8630346138117737,-16.36137575462932
s,depth_20_29,9901.0,0.473992526007474,-0.20921084301846996,-2.1632166457429274
s,depth_30plus,722.0,0.4404432132963989,-3.385294693229029,-5.374268797551205
