which,pred_decile,pred_lo,pred_hi,mean_pred_prob,mean_realized,abs_gap,count
baseline_LOYO,0,-12.6207,-0.3567,0.55413,0.55459,0.00046,1100484
baseline_LOYO,1,-0.3567,0.2526,0.5589,0.55794,0.00095,1100485
baseline_LOYO,2,0.2526,0.5591,0.58044,0.58,0.00044,1100483
baseline_LOYO,3,0.5591,0.8127,0.61145,0.61387,0.00243,1100485
baseline_LOYO,4,0.8127,1.1089,0.66269,0.6642,0.0015,1100483
baseline_LOYO,5,1.1089,1.4344,0.70019,0.70034,0.00015,1100483
baseline_LOYO,6,1.4344,1.8316,0.73176,0.73174,2e-05,1100487
baseline_LOYO,7,1.8316,2.3326,0.7585,0.75879,0.0003,1100484
baseline_LOYO,8,2.3326,3.0709,0.78934,0.78956,0.00021,1100483
baseline_LOYO,9,3.0709,inf,0.82536,0.82448,0.00088,1100486
best_quantile_bins_10_LOYO,0,-12.6207,-0.3567,0.55038,0.55459,0.00421,1100484
best_quantile_bins_10_LOYO,1,-0.3567,0.2526,0.55828,0.55794,0.00033,1100485
best_quantile_bins_10_LOYO,2,0.2526,0.5591,0.58013,0.58,0.00014,1100483
best_quantile_bins_10_LOYO,3,0.5591,0.8127,0.61126,0.61387,0.00261,1100485
best_quantile_bins_10_LOYO,4,0.8127,1.1089,0.662,0.6642,0.0022,1100483
best_quantile_bins_10_LOYO,5,1.1089,1.4344,0.69983,0.70034,0.00051,1100483
best_quantile_bins_10_LOYO,6,1.4344,1.8316,0.73151,0.73174,0.00022,1100487
best_quantile_bins_10_LOYO,7,1.8316,2.3326,0.75875,0.75879,4e-05,1100484
best_quantile_bins_10_LOYO,8,2.3326,3.0709,0.78916,0.78956,0.00039,1100483
best_quantile_bins_10_LOYO,9,3.0709,inf,0.82436,0.82448,0.00013,1100486
