direction,q,year,n,fwd_wr,fwd_avg_ret_pct
l,0,2000,371428,0.5275585039361599,2.174208279248521
l,0,2001,379724,0.5503286597634071,11.013867628005729
l,0,2002,406807,0.4720051523203878,-0.4779500631840788
l,0,2003,443708,0.66591767558845,5.920974119435323
l,0,2004,477563,0.5698787385119869,2.9973265274036605
l,0,2005,515119,0.5578128548937236,2.1740240786185216
l,0,2006,555445,0.5723446965946223,1.963153453953871
l,0,2007,613765,0.4759313418002004,-0.3109844547483177
l,0,2008,674444,0.41481724205419573,-4.017202799000237
l,0,2009,728577,0.6167886167144996,8.780202554759832
l,0,2010,754809,0.5969192206240255,3.4724473976263326
l,0,2011,798906,0.5012567185626344,0.4018007041713347
l,0,2012,833742,0.5784991040393791,3.3100114007670864
l,0,2013,858341,0.620931541194001,3.7502259239243845
l,0,2014,901415,0.5349411758180195,1.172818159086765
l,0,2015,945356,0.4646884348330153,-0.08257198345418844
l,0,2016,994903,0.608375891921122,6.552970140007881
l,0,2017,1037445,0.5640482146041477,1345.3352986715104
l,0,2018,1066916,0.4870317813211162,-0.1608303594180604
l,0,2019,1106682,0.5480951167544064,8.358446565434475
l,0,2020,1120033,0.587911249043555,17.073090690923163
l,0,2021,1113208,0.5304731909939562,1.5307423727315443
l,0,2022,1105835,0.4514262977749845,-0.808916043873445
l,0,2023,1103125,0.4954959773371105,1.340752227298289
l,0,2024,1106964,0.5158767584131011,1.8848535092361223
l,0,2025,1057130,0.5354478635550973,28.861736746573385
l,1,2000,48969,0.6031775204721355,8.151032153577303
l,1,2001,52202,0.6119880464350025,4.0513852522282265
l,1,2002,50907,0.5284342035476457,0.7686048978955229
l,1,2003,48706,0.7175501991541083,5.7805218979837285
l,1,2004,59427,0.6074848133003516,2.699496336086794
l,1,2005,73320,0.6268276050190944,3.2588683693072404
l,1,2006,75676,0.6091759606744542,2.225317545027956
l,1,2007,78127,0.4346000742380995,-1.6054136519302136
l,1,2008,72486,0.44306486769859005,-3.387169562920309
l,1,2009,68377,0.6724629626921333,9.44653814332684
l,1,2010,84348,0.6436904253805662,3.9960594427699503
l,1,2011,94317,0.6136115440482628,3.0500072801476206
l,1,2012,96556,0.6264758274990679,2.8436045396287124
l,1,2013,112394,0.6441269106891827,3.484965818753396
l,1,2014,109374,0.5946842942564047,2.067944543845586
l,1,2015,110533,0.4827879456813802,-0.4426871736466174
l,1,2016,107984,0.6488553859831087,7.5534571839073905
l,1,2017,115129,0.5757367822182075,1.6522446521405232
l,1,2018,134940,0.44437527790128944,-1.2271822697720502
l,1,2019,146466,0.6139718432946896,2.7723102665362993
l,1,2020,150837,0.5546848584896279,1.9196234443825566
l,1,2021,140324,0.5766084205125281,2.1298731415204126
l,1,2022,140467,0.5133020567108288,0.6261211051291176
l,1,2023,127396,0.6026013375616189,6.922940971676583
l,1,2024,117812,0.5769615998370284,2.9134113360397484
l,1,2025,108978,0.5473948870414213,1.8918696059015754
s,0,2000,409202,0.44589713637763256,-2.9557168981544613
s,0,2001,421515,0.4322598246800233,-10.429424357049152
s,0,2002,445265,0.5135997664312264,0.29063967623990233
s,0,2003,477350,0.32124227506022834,-5.879939895278623
s,0,2004,521696,0.4190965619824572,-2.981147768994786
s,0,2005,572877,0.42626078547401974,-2.349153468300625
s,0,2006,612975,0.4181035115624618,-1.976585701865324
s,0,2007,672677,0.5220083338660308,0.46191411985327957
s,0,2008,720941,0.5771776053796358,3.9781879365447463
s,0,2009,768084,0.37233297399763565,-8.637217967004778
s,0,2010,814124,0.3911652279014008,-3.5586790911031265
s,0,2011,868792,0.47882922494682273,-0.7394259144282689
s,0,2012,901924,0.4087151467307667,-3.275731379982147
s,0,2013,943720,0.3700038146907981,-3.7094121953314936
s,0,2014,980105,0.45221787461547486,-1.3121552483247856
s,0,2015,1023235,0.5270157881620546,0.10526264176256839
s,0,2016,1063015,0.379269342389336,-6.7848299100997895
s,0,2017,1113487,0.4253269234396091,-1253.5555518911826
s,0,2018,1164444,0.512398191755035,0.2838778106060218
s,0,2019,1219210,0.43787452530737114,-7.312261830900099
s,0,2020,1228991,0.4124122959403283,-13.094146328723804
s,0,2021,1215983,0.458342756436562,-1.6405260659268701
s,0,2022,1210299,0.5358023100076923,0.5667798392278267
s,0,2023,1188383,0.4852383448770304,-2.0600355167774307
s,0,2024,1174153,0.471491364413326,-1.8917137386333573
s,0,2025,1121944,0.456815135158261,-19.305090313151457
s,1,2000,11195,0.5340777132648504,0.24792674277403814
s,1,2001,10411,0.5223321486888868,0.23422569857912834
s,1,2002,12449,0.5663908747690578,2.080037462896465
s,1,2003,15064,0.3797796070100903,-6.7671518280903165
s,1,2004,15294,0.4641689551458088,-2.3919413284686897
s,1,2005,15562,0.4994216681660455,-0.838282144444402
s,1,2006,18146,0.4132040119034498,-2.602737802713916
s,1,2007,19215,0.5257351027842831,0.29032119970899567
s,1,2008,25989,0.5689714879372042,3.3422566603659662
s,1,2009,28870,0.39612054035330796,-14.162474901164469
s,1,2010,25033,0.429592937322734,-2.432313876421263
s,1,2011,24431,0.5400106422168557,1.3809827284833653
s,1,2012,28374,0.4525974483682244,-2.8124993327597125
s,1,2013,27015,0.40755136035535816,-4.072383528481018
