method,fit_scheme,ECE,MCE,Brier,logloss,AUC
production_20bin_step,in_sample,3.9e-05,0.000464,0.2063,0.601428,0.590584
platt_linear,LOYO,0.016065,0.052989,0.207779,0.60475,0.590584
platt_quad,LOYO,0.01691,0.055686,0.207925,0.605219,0.590584
isotonic_clip,LOYO,0.018613,0.377938,0.209684,0.61435,0.590584
isotonic_extrap,LOYO,0.018613,0.377938,0.209684,0.61435,0.590584
isotonic_recency_w,LOYO,0.027805,0.377938,0.209891,0.614821,0.590584
quantile_bins_10,LOYO,0.017169,0.254701,0.210416,0.611143,0.590584
production_20bin_step,LOYO,0.026738,0.228822,0.210639,0.611549,0.590584
quantile_bins_20,LOYO,0.026738,0.228822,0.210639,0.611549,0.590584
quantile_bins_50,LOYO,0.031732,0.150704,0.211238,0.612505,0.590584
isotonic_by_dir,LOYO,0.04426,0.377876,0.212403,0.620381,0.590584
