direction,depth_bucket,n,fwd_wr,fwd_avg_ret_pct,ret_t_stat
l,never_qualified,12927873.0,0.5291564977471546,113.64882694646161,6.665027911165242
l,depth_5_9,5803301.0,0.5433550663665386,2.2796787618792536,15.71608906133268
l,depth_10_14,2854987.0,0.5649924150267585,2.9069750952769864,16.237825248894133
l,depth_15_19,1136960.0,0.5712338164931045,2.824241070893789,16.768240209940295
l,depth_20_29,712401.0,0.5985182502551232,2.766555570994377,21.394132889379943
l,depth_30plus,161920.0,0.6096158596837945,2.6320728277838286,87.00595635441145
s,never_qualified,17433787.0,0.4467157938777157,-83.11594513473098,-6.573958163309632
s,depth_5_9,4581838.0,0.46345986043155607,-5.576622268537143,-15.585698560821724
s,depth_10_14,1232912.0,0.4829736428877325,-16.50806204270594,-7.442595412312626
s,depth_15_19,272132.0,0.49613055428982994,-4.597915928671656,-5.717346392094874
s,depth_20_29,73222.0,0.5145857802299856,-2.538107259712526,-5.01777485440752
s,depth_30plus,3551.0,0.5156294001689665,-2.206162361900386,-2.4917770231658642
