strategy_id,category,ranking,threshold,exit,sizing,max_positions,strike,expiry,iv_filter,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,worst_single_trade,longest_losing_streak,years_profitable,pct_total_loss,avg_theta_cost,options_vs_stock_mult,avg_premium_per_trade,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,consistency_score,sharpe_norm,dd_norm,return_norm,weighted_score
71,Strike Study,WP,85,EC,SH,3,D60,X2,IL,1057.764083511687,1.3883606103454689,0.5380421978325934,1.4679344925642386,0.6742268041237114,0.4377186211026776,-0.3510697114591531,1.811345617036553,485,60.625,-0.5,11,8,0.0,0.04500095934122259,5.5423608475374815,187600.54748492042,1.6044299311293617,0.3398916238340628,0.7184796622038367,4.274063562785671,0.03466061328894643,8.01501542679011,1.0296735975597806,0.7969769899770751,1.0,0.9856887133468624,0.8021645156233999,1.0,0.9568550814613956
22,Cash Machine,CW,85,EC,SH,3,D50,XN,IL,801.2785399725232,1.306963094274792,0.601714884096799,1.3506492504744494,0.6446808510638298,0.49080484695542737,-0.3510918160380962,1.7960498427465634,470,58.75,-0.5,8,7,0.0,0.08137563933778447,4.125665528599636,139176.15052229926,0.9873897822125641,0.07583082948114606,-0.39975689252478064,2.1792191527888067,0.5998180123919974,6.477392730573484,9.536290522095756,0.4913860041727436,0.875,0.942595991629713,0.6899924044888153,0.7577451582178067,0.8373092525378625
21,Cash Machine,CW,85,EC,SK,3,D50,XN,IL,801.2785399725232,1.306963094274792,0.601714884096799,1.3506492504744494,0.6446808510638298,0.49080484695542737,-0.3510918160380962,1.7960498427465634,470,58.75,-0.5,8,7,0.0,0.08137563933778447,4.125665528599636,139176.15052229926,0.9873897822125641,0.07583082948114606,-0.39975689252478064,2.1792191527888067,0.5998180123919974,6.477392730573484,9.536290522095756,0.4913860041727436,0.875,0.942595991629713,0.6899924044888153,0.7577451582178067,0.8373092525378625
23,Cash Machine,CW,85,EC,SA,3,D50,XN,IL,801.2785399725232,1.306963094274792,0.601714884096799,1.3506492504744494,0.6446808510638298,0.49080484695542737,-0.3510918160380962,1.7960498427465634,470,58.75,-0.5,8,7,0.0,0.08137563933778447,4.125665528599636,139176.15052229926,0.9873897822125641,0.07583082948114606,-0.39975689252478064,2.1792191527888067,0.5998180123919974,6.477392730573484,9.536290522095756,0.4913860041727436,0.875,0.942595991629713,0.6899924044888153,0.7577451582178067,0.8373092525378625
12,Cash Machine,WP,85,EC,SK,3,D60,XN,IL,352.51358306346947,1.08233578797878,0.5453969822110755,1.5068854488474575,0.656686626746507,0.3913966340017551,-0.33170899799156395,2.010715669635006,501,62.625,-0.5,11,7,0.0,0.06451293645000918,4.832484343818008,61478.468605247734,1.5178511565414468,0.3743810608750171,0.570621769495681,3.6249880267719403,-0.08406852654875108,1.8059748725163867,1.4872636100404342,1.2138260994431538,0.875,1.0,0.7892075989440768,0.3338792274785354,0.8079234039105957
13,Cash Machine,WP,85,EC,SH,3,D60,XN,IL,352.51358306346947,1.08233578797878,0.5453969822110755,1.5068854488474575,0.656686626746507,0.3913966340017551,-0.33170899799156395,2.010715669635006,501,62.625,-0.5,11,7,0.0,0.06451293645000918,4.832484343818008,61478.468605247734,1.5178511565414468,0.3743810608750171,0.570621769495681,3.6249880267719403,-0.08406852654875108,1.8059748725163867,1.4872636100404342,1.2138260994431538,0.875,1.0,0.7892075989440768,0.3338792274785354,0.8079234039105957
63,Strike Study,WP,85,EC,SH,3,D60,XN,IL,352.51358306346947,1.08233578797878,0.5453969822110755,1.5068854488474575,0.656686626746507,0.3913966340017551,-0.33170899799156395,2.010715669635006,501,62.625,-0.5,11,7,0.0,0.06451293645000918,4.832484343818008,61478.468605247734,1.5178511565414468,0.3743810608750171,0.570621769495681,3.6249880267719403,-0.08406852654875108,1.8059748725163867,1.4872636100404342,1.2138260994431538,0.875,1.0,0.7892075989440768,0.3338792274785354,0.8079234039105957
81,IV Filter,WP,85,EC,SH,3,D50,XN,IH,64.44262831535181,0.686485422605156,0.4257440820065945,1.3671293512547147,0.647410358565737,0.3140477035784128,-0.28651877228592093,1.78347030117724,502,62.75,-0.5,8,7,0.0,0.08973278780936236,3.028483188215671,17550.29109919104,0.8695152128615911,-0.10750125023229484,1.0015950341066002,1.7583727094469226,0.207593290727472,1.1185093976462537,0.5845062641216381,0.7365887456728824,0.875,0.9486510790741408,1.0,0.061791441938705935,0.7964314860593411
87,IV Filter,WP,90,EC,SH,3,D50,XN,IH,81.44529116934328,0.7358841271955656,0.4812849139974364,1.3511724830733205,0.648870636550308,0.32524536746723753,-0.2829772528558057,1.8303886641232756,487,60.875,-0.5,8,7,0.0,0.08822661693906378,3.176108401724436,22118.0415737928,0.887234622617747,-0.11361981456080761,1.398901607728111,1.4623485282407662,0.3652405501646976,1.015601076504125,0.6258565441973827,0.8435386529840814,0.875,0.9427882367611101,0.9021537688431663,0.07785073846954817,0.7778054237293431
26,Cash Machine,WP,90,EC,SK,3,D50,XN,IH,81.44529116934328,0.7358841271955656,0.4812849139974364,1.3511724830733205,0.648870636550308,0.32524536746723753,-0.2829772528558057,1.8303886641232756,487,60.875,-0.5,8,7,0.0,0.08822661693906378,3.176108401724436,22118.0415737928,0.887234622617747,-0.11361981456080761,1.398901607728111,1.4623485282407662,0.3652405501646976,1.015601076504125,0.6258565441973827,0.8435386529840814,0.875,0.9427882367611101,0.9021537688431663,0.07785073846954817,0.7778054237293431
27,Cash Machine,WP,90,EC,SH,3,D50,XN,IH,81.44529116934328,0.7358841271955656,0.4812849139974364,1.3511724830733205,0.648870636550308,0.32524536746723753,-0.2829772528558057,1.8303886641232756,487,60.875,-0.5,8,7,0.0,0.08822661693906378,3.176108401724436,22118.0415737928,0.887234622617747,-0.11361981456080761,1.398901607728111,1.4623485282407662,0.3652405501646976,1.015601076504125,0.6258565441973827,0.8435386529840814,0.875,0.9427882367611101,0.9021537688431663,0.07785073846954817,0.7778054237293431
59,Strike Study,WP,85,EC,SH,3,D60,XS,IL,59.389919063039336,0.6696312163510354,0.4904092701614562,1.1453153711092179,0.6331967213114754,0.36440146329802126,-0.33617332316319337,1.590774435285615,488,61.0,-0.5,9,7,0.0,0.08398586300598501,3.991668211176593,15715.679148258892,1.194776343608393,0.3199479948090078,0.2772377113178244,3.2956720785423865,-0.1831396054072585,0.677113935544124,0.1707661164453227,1.4213550995676938,0.875,0.8671526062137144,0.8860793992239072,0.05701907440640687,0.7525568925591711
85,IV Filter,WP,90,EC,SH,3,D50,XN,IN,61.24483148930315,0.6759571551022967,0.5043679352783836,1.1296413059607768,0.64,0.3473766494454676,-0.30895314262985496,1.5722637767486356,475,59.375,-0.5,10,7,0.0,0.09087254668110624,3.153586233889289,17502.433862977614,0.6559889508784784,0.40874171705810247,0.07296938480314963,2.5236559089432733,0.06868400600256042,3.554497440102817,-0.2614282169988871,0.9928761582405152,0.875,0.861393670855921,0.8614884320972909,0.05877106989957879,0.7464617646183753
67,Strike Study,WP,85,EC,SH,3,D60,XB,IL,82.62003423175747,0.7389567977605813,0.5490575321840565,1.2146041375350156,0.6296296296296297,0.37868426821064843,-0.3301597354006546,1.710509535656105,486,60.75,-0.5,11,7,0.0,0.0691330062908763,4.420103378077432,18996.6462002406,1.3990122410077879,0.35504589225911376,0.23157763697236877,2.4240657715165272,-0.15217427662538552,0.9519264399379088,0.25102803512804006,1.6518477857045637,0.875,0.8926105536631098,0.7827588115208616,0.0789603027389138,0.7415484461307869
70,Strike Study,WP,85,EC,SH,3,D50,X2,IL,120.500808606727,0.8221007883700655,0.5890733841900595,1.3092020954660353,0.6986027944111777,0.30633345524638816,-0.3232595894806554,1.6873878917227214,501,62.625,-0.5,7,7,0.0,0.06222349495116465,3.701450338002884,31413.564787984687,0.6844652439012775,0.07450491688076744,0.7569602501992412,2.114366968220669,0.8234741610218921,3.2322838610791678,-0.09540505569717073,0.6865595950047636,0.875,0.9273675563643641,0.7122629229111515,0.11473932122146606,0.7415053718565412
