strategy_id,type,category,config,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,worst_trade,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,consistency,weighted_score
54,CREDIT,CS Wide,WP/T90/SK/P3/O5%/W3%/XS,2973.1255005661233,1.7175022437295246,0.3861408373123407,3.649886849875999,0.9337016574585635,0.21842024383423517,-0.6749136721496434,6.464549169627735,543,67.875,-1.0,8,1.5101674788194503,0.1857839023934813,0.37024243819109737,3.4138782482650756,2.9345097736314756,3.1221184751573805,1.6059076551852245,2.908977388463499,1.0,0.8279097936614885
59,CREDIT,CS NoIV,WP/T85/SK/P3/O3%/W3%/XS,577462.6309971989,4.2503780988866,0.3172073685621939,3.293869677032545,0.8306092124814265,0.3717655721380855,-0.5213870849725345,9.751659917035846,673,84.125,-1.0,8,4.510382232459144,0.4047384443272568,2.7249191348402424,7.355332798349375,1.5185181985710088,15.02497535520591,3.3507074026692143,11.694927158348593,1.0,0.8152097642281118
46,CREDIT,CS Tight,WP/T90/SK/P3/O3%/W3%/XS,1024416.843517788,4.640396595888868,0.40927599505202505,3.5669631113810865,0.8790322580645161,0.36561938045533077,-0.5916149899165015,5.386684030523742,620,77.5,-1.0,8,6.667512446640947,0.2727514448168715,1.1590651347343552,4.6510095097950055,8.306580204960463,16.888494204889955,8.630247646082939,4.36643531861775,1.0,0.8123926094402115
39,CREDIT,CS Tight,WP/T85/SK/P3/O2%/W3%/XS,6292960.806738068,6.077125335288881,0.3844297252609637,3.3318182620564483,0.8049490538573508,0.45515037790349183,-0.5306834105715909,7.388596985474452,687,85.875,-1.0,8,11.905692429244334,0.7781511136320427,2.3343666498845326,6.187496861514555,5.4119467666101855,11.510415255010466,12.383595923952827,9.157787561074956,1.0,0.7973762566281728
41,CREDIT,CS Tight,WP/T85/SH/P3/O2%/W3%/XS,6292960.806738068,6.077125335288881,0.3844297252609637,3.3318182620564483,0.8049490538573508,0.45515037790349183,-0.5306834105715909,7.388596985474452,687,85.875,-1.0,8,11.905692429244334,0.7781511136320427,2.3343666498845326,6.187496861514555,5.4119467666101855,11.510415255010466,12.383595923952827,9.157787561074956,1.0,0.7973762566281728
51,CREDIT,CS Wide,WP/T85/SK/P3/O5%/W3%/XS,2267.196799456199,1.6270001141769512,0.38211545020026383,3.3134482029783947,0.9251336898395722,0.21808878905978699,-0.6910836481346255,6.2910933555575985,561,70.125,-1.0,8,1.7262422585178392,0.029788093304272456,0.4008091020232736,2.922874172697541,2.8499496466712158,2.664692416739774,1.6646739857763602,2.9106453077876426,1.0,0.796322747626114
45,CREDIT,CS Tight,WP/T90/SK/P3/O2%/W3%/XS,4013392.7091537965,5.690197993272123,0.3844297252609639,3.2832163674542674,0.8129829984544049,0.452337170180795,-0.5208264338948946,7.211561324686525,647,80.875,-1.0,8,8.4239807232663,0.2662205403163267,2.3343666498845286,5.191318676524211,7.231609062978626,16.372771384176286,9.689022914366845,9.157787861988366,1.0,0.7926268470458608
44,CREDIT,CS Tight,WP/T85/SH/P3/O3%/W3%/XS,997975.6287037785,4.62198970964973,0.40927599505202505,3.3288639463314955,0.8693009118541033,0.3641361204774411,-0.6137483473677782,5.3999772824424275,658,82.25,-1.0,8,6.527312142000152,0.3957036564794063,1.1590651347343544,4.3069878199670715,7.143428079681769,16.143103725991597,10.069445834215687,4.364766152898183,1.0,0.7891254001002638
42,CREDIT,CS Tight,WP/T85/SK/P3/O3%/W3%/XS,997975.6287037785,4.62198970964973,0.40927599505202505,3.3288639463314955,0.8693009118541033,0.3641361204774411,-0.6137483473677782,5.3999772824424275,658,82.25,-1.0,8,6.527312142000152,0.3957036564794063,1.1590651347343544,4.3069878199670715,7.143428079681769,16.143103725991597,10.069445834215687,4.364766152898183,1.0,0.7891254001002638
34,DEBIT,DS PosCount,CW/T85/SK/P4/W3%/XN/EH,4.2558765711109395e+36,37897.64021830757,0.6491474531269018,2.57465648781022,0.8609958506224067,1.4634687930457064,-0.8986092413332781,2.4235549275261836,964,120.5,-1.0,8,14864.93399850991,45.669099696127994,16593.176768907244,5467.278922912752,277877.59076829016,31729.664579845634,23486577.999884237,155963.2934104921,1.0,0.7885552777514009
56,CREDIT,CS PosCount,WP/T85/SK/P4/O3%/W3%/XS,47448237.310316965,8.11019161363677,0.456984975360409,3.3985960175209096,0.8651162790697674,0.36362064675763245,-0.5635750668668336,6.887832410230542,860,107.5,-1.0,8,13.074900495818593,0.7757486202468626,2.307901218467485,7.634784073716441,7.46310743235577,31.073974275633212,20.797545592716883,10.233084713014936,1.0,0.7806509922707102
40,CREDIT,CS Tight,WP/T85/SK/P3/O2%/W3%/XN,244488.15766258584,3.71555104671973,0.4069557642116208,2.9595540647568725,0.7976710334788938,0.3965799691628452,-0.5318095195782331,5.233858834418268,687,85.875,-1.0,8,6.964366368347849,0.5444384873629577,1.400746556968096,3.7297171129320885,2.698860465813904,7.136832481518102,7.373084003009891,5.66074313957592,1.0,0.753779725962104
43,CREDIT,CS Tight,WP/T85/SK/P3/O3%/W3%/XN,58116.61031291565,2.940383289001398,0.4217715243865061,2.9729846796817188,0.8597560975609756,0.3142059185831902,-0.5838134483152979,4.048556637381406,656,82.0,-1.0,8,4.07203347341416,0.23556177910346499,0.5957024633634271,2.6718406359448563,4.021317395198888,9.949167369755104,6.233055179083969,2.9801999176983314,1.0,0.7503443619038925
30,DEBIT,DS EarlyExit,CW/T85/SH/P3/W5%/XN/EP,1.674002245555573e+22,598.7489613544494,0.4256032229171275,2.973220040340805,0.7955706984667802,1.5908664129844405,-0.810919249857182,2.036893636688026,587,73.375,-1.0,8,172.74380363785772,15.21496189481315,5346.652177933419,114.45724549421222,712.3447773647453,760.9548075868521,5656.594941299289,2443.335994322696,1.0,0.7491394672363596
35,DEBIT,DS NoIV,WP/T85/SK/P3/W3%/XN/EH,7.4791587485086465e+25,1713.871544222776,0.42611657543943776,2.8612947370118875,0.8120617110799438,1.4710206950218132,-0.882339505785515,1.7241478080817436,713,89.125,-1.0,8,953.4400701926356,7.455339037636653,6613.07184210253,5081.837520622032,6769.655837680879,4079.566845441622,2001.196652580684,2975.7826682909517,1.0,0.7380375445248546
31,DEBIT,DS PosCount,WP/T85/SK/P2/W3%/XN/EH,4.27480961851207e+16,118.91253858886625,0.4869491334993831,2.8973608593958375,0.8026905829596412,1.4624201373712562,-0.9122739673453796,2.0339013082235198,446,55.75,-1.0,8,578.1730416807244,8.56310929773875,52.4712811171426,1152.0442247476094,39.00959101653154,148.14461072412743,186.4574761161508,110.90985237451049,1.0,0.7220677365389896
