feature,lgb_gain,lgb_split
mkt_yield_curve_10y2y,825462015.6015625,595
mkt_fed_rate_level,758464943.3984375,727
ctx_pct_from_52w_high,717132856.484375,681
cal_day_of_year,670986037.0,652
mkt_credit_spread,612448126.1953125,480
cal_pe_year,611410690.6953125,348
mkt_fed_rate_direction,535008786.31640625,478
mkt_vix_level,472304501.91796875,320
pat_direction,469502945.7890625,202
pat_avg_profit2,393249713.59765625,353
mkt_spx_seasonal_ret,338398421.0078125,262
mkt_vix_term_structure,293041064.0,208
ctx_pct_from_52w_low,275020245.6015625,465
mkt_dxy_roc_20,243754714.1953125,195
mkt_cl_roc_20,214933109.7890625,188
mkt_credit_spread_change_20d,206788768.30859375,168
pat_depth_utilization,201759238.00390625,109
pat_dir_x_mkt_trend,196868769.796875,163
pat_data_years,161808965.38671875,362
cal_month,155805630.6015625,141
mkt_gc_roc_20,154105085.80078125,216
pat_pe_utilization,145427965.0078125,144
ta_price_vs_sma200,140437960.09375,238
mkt_sector_rotation,138670854.40234375,170
pat_deepest_pass,136270114.8984375,127
ta_sma50_vs_sma200,114867281.3984375,282
mkt_spx_seasonal_wr,106205117.49609375,139
mkt_spy_roc_20,92572442.69921875,139
mkt_adv_decl_ratio_10d,91369417.8046875,85
ta_trend_long,89512361.3046875,114
mkt_breadth_momentum,86801049.69921875,95
mkt_vix_percentile_60d,79913678.10546875,107
pat_neighbor_avg_wr,79213405.6015625,138
pat_depth_x_vix,77471296.7109375,108
pat_pe_deepest,72163417.0,90
pat_best_winrate,71278488.296875,111
pat_deepest_pass_capped30,69972293.6015625,55
mkt_spy_above_sma200,67111253.0,41
pat_sharpe_ratio,63415635.58984375,101
pat_dir_x_sector_trend,61517441.19921875,112
mkt_spx_dir_alignment,49151074.8046875,67
mkt_vix_regime_bucket,46719477.796875,36
pat_quality_x_regime,41177480.0,53
mkt_yield_curve_slope,40788187.3984375,60
pat_pe_match,40046289.0,26
pat_consistency_std,28544541.296875,82
ta_trend_direction_match,25856527.59375,49
pat_post_cliff,25639388.30078125,62
pat_hit_last_year,20974843.80078125,54
pat_pre_slope,17081334.5,22
pat_sharpness,15073719.6015625,36
pat_num_combos_qualifying,12660447.6015625,31
pat_daysOut,11102311.6015625,46
pat_worst_winrate,11070238.0,35
pat_concurrent_count,7380152.1953125,43
mkt_vix_5d_change,6956687.59765625,30
ta_rvol_20,5401451.796875,21
mkt_spx_seasonal_regime,4324458.203125,8
pat_passes_recent_10,965835.0,5
cal_is_opex_week,889971.0,3
pat_recent_vs_deep_sharpe,794908.0,2
cal_week_of_month,101733.0,1
