feature,lgb_gain,lgb_split
ctx_pct_from_52w_high,7807312131.751953,3508
pat_avg_profit2,3814561589.6054688,2454
ctx_pct_from_52w_low,2581186655.685547,3115
mkt_vix_level,1612349246.8769531,1623
mkt_fed_rate_level,1610735309.3808594,3224
mkt_yield_curve_10y2y,1226002814.3164062,2616
mkt_fed_rate_direction,1155255328.9511719,2420
cal_day_of_year,1114988673.8105469,2896
pat_data_years,1065370517.3398438,2725
mkt_credit_spread,952192581.4003906,2132
pat_direction,910940560.5039062,1173
cal_pe_year,705556743.0742188,1183
mkt_gc_roc_20,645928456.875,1244
mkt_spx_seasonal_ret,600805397.9902344,1433
ta_price_vs_sma200,600562294.4511719,1405
ta_sma50_vs_sma200,582991390.2070312,1838
mkt_sector_rotation,502042839.328125,915
mkt_dxy_roc_20,496293860.10546875,1153
mkt_cl_roc_20,494027271.7988281,1035
pat_depth_utilization,462143435.7578125,656
pat_dir_x_mkt_trend,432853875.41796875,713
ta_trend_long,427044225.92578125,842
mkt_vix_regime_bucket,409538102.90234375,207
pat_neighbor_avg_wr,374597601.2734375,975
mkt_vix_term_structure,373341972.7792969,918
pat_daysOut,355774791.8066406,399
mkt_credit_spread_change_20d,328674126.8535156,720
pat_pe_utilization,323045678.71484375,906
cal_month,304574516.5,862
mkt_spx_seasonal_wr,263049104.21875,788
mkt_vix_percentile_60d,261576969.203125,540
mkt_spy_roc_20,228390520.28125,694
mkt_spx_dir_alignment,204183113.57421875,466
mkt_spy_above_sma200,197970132.98828125,192
pat_deepest_pass,197373471.88671875,477
mkt_breadth_momentum,167592324.81640625,411
mkt_adv_decl_ratio_10d,162496872.58984375,401
pat_dir_x_sector_trend,159342437.5078125,666
pat_hit_last_year,133711139.41015625,359
pat_sharpness,128662332.1953125,255
pat_best_winrate,123318011.625,445
ta_trend_direction_match,117351952.37695312,337
pat_pe_deepest,114128844.8515625,364
pat_pre_slope,111693883.10546875,172
pat_depth_x_vix,105262629.05664062,415
ta_rvol_20,99577763.703125,262
mkt_yield_curve_slope,94172817.98046875,254
pat_sharpe_ratio,83083976.20898438,296
pat_post_cliff,79615689.72460938,275
pat_pe_match,76872496.1171875,140
pat_quality_x_regime,72780338.8125,247
pat_worst_winrate,55359286.265625,218
pat_consistency_std,48247739.16796875,281
pat_deepest_pass_capped30,46695751.0,158
mkt_vix_5d_change,37965243.193359375,194
pat_concurrent_count,28114276.80859375,220
mkt_spx_seasonal_regime,20343069.193359375,77
pat_num_combos_qualifying,16485996.0234375,97
cal_week_of_month,8655255.41796875,59
pat_recent_vs_deep_sharpe,5246682.1015625,37
cal_is_opex_week,1379783.90625,12
pat_passes_recent_10,734347.5,5
